rate_class,model,MAE,RMSE,MAPE%
CIEP,Linear Regression,16.40197571702828,21.24098578385711,3.3034527778240332
CIEP,SARIMAX,229.38703358901958,264.2456235384609,44.22068573407019
GPC,Linear Regression,1.7916207866382678,2.474104678657347,2.793535158302524
GPC,SARIMAX,12.625642353372088,15.268484175447448,18.4139605046131
GPI,Linear Regression,0.8897093871700062,1.3232261756840142,2.52682462909798
GPI,SARIMAX,41.583204210013214,45.776437609012625,116.71125853128544
GSC,Linear Regression,29.96384789030259,39.570639239418824,4.039320210634554
GSC,SARIMAX,553.9947330218215,622.8860623185944,81.3886376803191
GSI,Linear Regression,1.983219803273421,2.630488053382543,4.121973829213856
GSI,SARIMAX,7.797147694563512,10.106855356287701,16.731971680222372
GSTC,Linear Regression,1.3459838809932334,1.794190455375007,3.450070679352394
GSTC,SARIMAX,5.90962964276096,7.332792856316615,13.654233066329175
GSTI,Linear Regression,0.244656132035988,0.33459792426200846,3.4061661414493947
GSTI,SARIMAX,1.5840980907392062,1.8634468070901795,20.375491107961448
GTC,Linear Regression,1.7083369786811131,2.742047685563367,2.8607877362642746
GTC,SARIMAX,7.120711119747834,8.776958390620596,11.361401912776325
GTI,Linear Regression,5.864381828881276,8.011185581081563,6.32847618390954
GTI,SARIMAX,102.38510591887338,112.14199189532245,110.28077635416477
Res,Linear Regression,63.78958364941939,85.10173344621187,5.784889480212136
Res,SARIMAX,1460.9415908375913,1595.4946177420697,145.7360068490561
RSCP,Linear Regression,85.94238728327316,114.01211164826596,18970803275.87838
RSCP,SARIMAX,1309.9532962333033,1553.4862098573465,24818718441.52032
